LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,TOOLTIP,SOURCE,SOURCE URL,2021,2022,2023,LEVEL
Municipal Departments,General Government,Town Manager,,,"The Board of Selectmen appoints the Town Manager, who oversees the daily operations of all general government departments, implements the policies of the Board of Selectmen, proposes an annual operating and capital budget, and enforces Town bylaws and regulations. The Town Manager's authority and responsibilities are established in the Selectmen-Town Manager Act of 1968. In addition, the Town Manager's Office is responsible for human resources, benefits administration and risk management.","FY23 Brown Book, X-10",http://www.lexingtonma.gov/budget,1413536,1400613,2132393,3
Municipal Departments,General Government,Town Committees,,,"Town Committees includes the Appropriation Committee, Capital Expenditures Committee, Town Celebrations Committee and various boards and committees appointed by the Board of Selectmen, Moderator and the Town Manager.","FY23 Brown Book, X-14",http://www.lexingtonma.gov/budget,24890,57974,70160,3
Municipal Departments,General Government,Finance,,,,"FY23 Brown Book, X-19",http://www.lexingtonma.gov/budget,1764887,1919788,2058151,3
Municipal Departments,General Government,Town Clerk,,,,"FY23 Brown Book, X-23",http://www.lexingtonma.gov/budget,522670,504690,627297,3
Municipal Departments,General Government,Information Services,,,,"FY23 Brown Book, X-27",http://www.lexingtonma.gov/budget,2229377,2632724,2667509,3
Municipal Departments,General Government Total,,,,,"FY23 Brown Book, I-3",http://www.lexingtonma.gov/budget,7168558,7682467,8854311,2
Municipal Departments Total,,,,,,"FY23 Brown Book, I-1",http://www.lexingtonma.gov/budget,39481849,41023558,44812553,1
Shared Expenses,Employee Benefits,Contributory Retirement,,,,"FY23 Brown Book, IV-4",http://www.lexingtonma.gov/budget,6679199,7417500,9219250,3
Shared Expenses,Employee Benefits,Non-Contributory Retirement,,,,"FY23 Brown Book, IV-4",http://www.lexingtonma.gov/budget,15907,16327,16777,3
Shared Expenses,Employee Benefits,Medicare,,,,"FY23 Brown Book, IV-4",http://www.lexingtonma.gov/budget,1907961,1986677,2054651,3
Shared Expenses,Employee Benefits,Health Insurance,,,,"FY23 Brown Book, IV-4",http://www.lexingtonma.gov/budget,25448028,26483798,29554494,3
Shared Expenses,Employee Benefits,Dental Insurance,,,,"FY23 Brown Book, IV-4",http://www.lexingtonma.gov/budget,985610,1093458,1109243,3
Shared Expenses,Employee Benefits,Life Insurance,,,,"FY23 Brown Book, IV-4",http://www.lexingtonma.gov/budget,20384,17160,25000,3
Shared Expenses,Employee Benefits,Unemployment,,,,"FY23 Brown Book, IV-4",http://www.lexingtonma.gov/budget,64311,88124,200000,3
Shared Expenses,Employee Benefits,Workers Compensation,,,,"FY23 Brown Book, IV-4",http://www.lexingtonma.gov/budget,875000,750000,625000,3
Shared Expenses,Employee Benefits,Property & Liability Insurance,,,,"FY23 Brown Book, IV-4",http://www.lexingtonma.gov/budget,791296,830781,895000,3
Shared Expenses,Employee Benefits,Uninsured Losses,,,,"FY23 Brown Book, IV-4",http://www.lexingtonma.gov/budget,250000,250000,200000,3
Shared Expenses,Employee Benefits Total,,,,This represents the combined benefits program for Town and School employees and retirees. ,"FY23 Brown Book, IV-4",http://www.lexingtonma.gov/budget,37037696,38913253,43882638,2
Shared Expenses,Within-Levy Debt Service,,,,Debt service includes general fund principal and interest payments for levy-supported (non-exempt) debt and temporary borrowing as well as for capital projects. Also included in these figures are debt issuance costs and interest on abatements.,"FY23 Brown Book, IV-12",http://www.lexingtonma.gov/budget,10237538,10397112,7541580,2
Shared Expenses,Reserve Fund,,,,"This reserve fund provides for extraordinary and unforeseen expenses, and is unde the jurisdiction of the Appropriation Committee.","FY23 Brown Book, IV-15",http://www.lexingtonma.gov/budget,,750000,750000,2
Shared Expenses,Public Facilities,Compensation,,,,"FY23 Brown Book, IV-19",http://www.lexingtonma.gov/budget,4746049,4706712,4877999,3
Shared Expenses,Public Facilities,Expenses,,,,"FY23 Brown Book, IV-19",http://www.lexingtonma.gov/budget,5749259,5996893,7090146,3
Shared Expenses,Public Facilities Total,,,,"Public Facilities include all municipal and school buildings, and the Cary Memorial Library.","FY23 Brown Book, IV-19",http://www.lexingtonma.gov/budget,10495308,10703605,11968145,2
Shared Expenses Total,,,,,,"FY23 Brown Book, I-1",http://www.lexingtonma.gov/budget,58783939,61821631,65846454,1
Capital Total,,,,,"Capital expenses financed with cash, as opposed to within-levy debt or excluded debt.","FY23 Brown Book, I-1",http://www.lexingtonma.gov/budget,7812019,10136491,14251037,1
Other Total,,,,,,"FY23 Brown Book, I-1",http://www.lexingtonma.gov/budget,1368916,6541910,8057163,1
Revenue Offsets,Cherry Sheet Assessments,,,,,"FY23 Brown Book, II-3",http://www.lexingtonma.gov/budget,960031,1001069,1126720,2
Revenue Offsets,Cherry Sheet Offsets - Public Libraries,,,,,"FY23 Brown Book, II-3",http://www.lexingtonma.gov/budget,63823,60127,54837,2
Revenue Offsets,Overlay (abatements),,,,,"FY23 Brown Book, II-3",http://www.lexingtonma.gov/budget,750000,900000,750000,2
Revenue Offsets,Snow Deficit,,,,,"FY23 Brown Book, II-3",http://www.lexingtonma.gov/budget,,,,2
Revenue Offsets Total,,,,,,"FY23 Brown Book, II-3",http://www.lexingtonma.gov/budget,1773854,1961196,2331557,1
Total Other Expenses,Revolving Funds,,,,,"FY23 Brown Book, I-2",http://www.lexingtonma.gov/budget,2356214,1867411,3542786,2
Total Other Expenses,Grants,,,,,"FY23 Brown Book, I-2",http://www.lexingtonma.gov/budget,156074,146444,149764,2
Total Other Expenses,CPA,,,,"Funding for open space, historic resources, affordable housing, and outdoor recreational facilities.","FY23 Brown Book, I-2",http://www.lexingtonma.gov/budget,5528047,6352089,3724550,2
Total Other Expenses,Enterprise Funds (Direct),Water,,,,"FY23 Brown Book, I-2",http://www.lexingtonma.gov/budget,11402688,12448489,12707237,3
Total Other Expenses,Enterprise Funds (Direct),Wastewater,,,,"FY23 Brown Book, I-2",http://www.lexingtonma.gov/budget,10448199,11203270,11798658,3
Total Other Expenses,Enterprise Funds (Direct),Recreation and Community Programs,,,,"FY23 Brown Book, I-2",http://www.lexingtonma.gov/budget,2066677,2597045,3425097,3
Total Other Expenses,Enterprise Funds (Direct),Cash Capital,,,,"FY23 Brown Book, I-2",http://www.lexingtonma.gov/budget,1600000,430000,1317000,3
Total Other Expenses,Enterprise Funds (Direct) Total,,,,,"FY23 Brown Book, I-2",http://www.lexingtonma.gov/budget,25517564,26330795,29247992,2
Total Other Expenses,Exempt Debt Service,Municipal,,,Annual Exempt Debt Service Payment for municipal projects,"FY23 Brown Book, I-2",http://www.lexingtonma.gov/budget,22628627,2228673,2117251,3
Total Other Expenses,Exempt Debt Service,Schools,,,Annual Exempt Debt Service Payment for school projects,"FY23 Brown Book, I-2",http://www.lexingtonma.gov/budget,15223476,14479164,13779712,3
Total Other Expenses,Exempt Debt Service Total,,,,"Annual Exempt Debt Service Payment, net of mitigation using within-levy Capital Stabilization Funds","FY23 Brown Book, I-2",http://www.lexingtonma.gov/budget,-4600000,-2800000,-800000,2
Total Other Expenses Total,,,,,,"FY23 Brown Book, I-2",http://www.lexingtonma.gov/budget,45042093,49062130,64477035,1
APPROPRIATIONS TOTAL,,,,,,"FY23 Brown Book, I-1",http://www.lexingtonma.gov/budget,"271,016,914","291,934,903","316,319,029",0
